ID,KP001-A05,KP002-A06,KP003-A07,KP004-A08,KP005-A09,KP006-A10,KP007-A11,KP008-A12,KP009-B01,KP010-B02,KP011-B03,KP012-B04,KP013-B05,KP014-B06,KP015-B07,KP016-B08,KP017-B09,KP018-B10,KP019-B11,KP020-B12,KP021-C01,KP022-C02,KP023-C03,KP024-C04,KP025-C05,KP026-C06,KP027-C07,KP028-C08,KP029-C09,KP030-C10,KP031-C11,KP032-C12,KP033-D01,KP034-D02,KP035-D03,KP036-D04,KP037-D05,KP038-D06,KP039-D07,KP040-D08,KP041-D09,KP042-D10,KP043-D11,KP044-D12,KP045-E01,KP046-E02,KP047-E03,KP048-E04,KP049-E05,KP050-E06,KP051-E07,KP052-E08,KP053-E09,KP054-E10,KP055-E11,KP056-E12,KP057-F01,KP058-F02,KP059-F03,KP060-F04,KP061-F05,KP062-F06,KP063-F07,KP064-F08,KP065-F09,KP066-F10,KP067-F11,KP068-F12,KP069-G01,KP070-G02,KP071-G03,KP072-G04,KP073-G05,KP074-G06,KP075-G07,KP076-G08,KP077-G09,KP078-G10,KP079-G11,KP080-G12,KP081-H01,KP082-H02,KP083-H03,KP084-H04,KP085-H05,KP086-H06,KP087-H07,KP088-H08,KP089-H09,KP090-H10,KP091-H11,KP092-H12,KP093-A01,KP094-A02,KP095-A03,KP096-A04,KP097-A05,KP098-A06,KP099-A07,KP100-A08,KP101-A09,KP102-A10,KP103-A11,KP104-A12,KP105-B01,KP106-B02,KP107-B03,KP108-B04,KP109-B05,KP110-B06,KP111-B07,KP112-B08,KP113-B09,KP114-B10,KP115-B11,KP116-B12,KP117-C01,KP118-C02,KP151-E11,KP152-E12,KP153-F01,KP154-F02,KP155-F03,KP156-F04,KP157-F05,KP158-F06,KP159-F07,KP160-F08,KP161-F09,KP162-F10,KP163-F11,KP164-F12,KP165-G01,KP166-G02,KP175-G11,KP176-G12,KP177-H01,KP178-H02,KP179-H03,KP180-H04,KP181-H05,KP182-H06,KP183-H07,KP184-H08,KP185-H09,KP186-H10,KP187-H11,KP188-H12,KP189-A01,KP190-A02,KP207-A12,KP208-B01,KP209-B02,KP210-B03,KP211-B04,KP212-B05,KP213-B06,KP214-B07,KP215-B08,KP216-B09,KP217-B10,KP218-B11,KP219-B12,KP220-C01,KP221-C02,KP222-C03,KP223-C04,KP224-C05,KP225-C06,KP226-C07,KP227-C08,KP228-C09,KP229-C10,KP230-C11,KP231-C12,KP232-D01,KP233-D02,KP234-D03,KP235-D04,KP236-D05,KP237-D06,KP238-D07,KP239-D08,KP240-D09,KP241-D10,KP242-D11,KP243-D12,KP244-E01,KP245-E02,KP246-E03,KP247-E04,KP248-E05,KP249-E06,KP250-E07,KP251-E08,KP252-E09,KP253-E10,KP254-E11,KP255-E12,KP256-F01,KP257-F02,KP258-F03,KP259-F04,KP260-F05,KP261-F06,KP262-F07,KP263-F08,KP264-F09,KP265-F10,KP266-F11,KP267-F12,KP268-G01,KP269-G02,KP270-G03,KP276-G09,KP277-G10,KP278-G11,KP279-G12,KP280-H01,KP281-H02,KP282-H03,KP283-H04
ASV_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,23,0,36,0,0,18,41,13,0,13,20,0,36,17,295,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,24,0,0,629,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,21,10,18,28,12,16,5,0,0,0,213,0,9,1460,0,0,0,0,0,0,0,0,0,687,16,31,220,6751,1258,1078,5723,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,14,0,0,0,0,0,10,0,0,0,0,0,0,0,8,0,0,0,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19922,22,181,19,4,44,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_16,0,0,17,0,776,0,70,79,9,114,0,32,37,0,0,120,0,54,0,46,0,0,0,37,7,0,0,0,0,0,0,0,75,12,0,0,0,163,834,0,0,0,0,0,0,0,108,37,0,6,0,0,0,50,11,42,39,0,116,0,54,37,8,32,0,0,0,0,0,0,93,0,0,0,37,1222,221,17,102,0,0,0,0,0,130,0,0,0,59,0,9,0,0,0,0,0,0,27,0,0,0,15,0,64,0,0,0,0,0,0,4695,1898,7582,262,1852,139,2365,292,0,0,8,9,37643,45,36,0,39,30,0,0,17,0,71,763,36,177,46,276,90,337,27,120,654,162,239,308,294,42,0,0,13,18,45,0,0,0,0,7,12,57,12,257,0,308,579,13,0,39,79,59,37,60,211,56,772,0,13,74,15,0,8,0,1293,102,824,49,1811,40,358,49,57,45,264,12538,67,0,4359,0,502,114,205,3191,32,10732,2067,432,8363,17050,73,85,36,74,231,442,27,1021,10,22,22,12,0,9
ASV_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10750,0,59,0,0,0,1992,0,0,0,0,0,0,0,0,0,17,23,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6708,3506,3236,9531,3904,1049,397,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,847,328,0,0,0,0,0,0,0,11,14,0,0,0,0,650,0,311,0,0,0,0,22,872,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0
ASV_21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78449,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,16,17,13,0,0,0,0,163,51,0,10,0,0,0,0,33,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,163,0,36,15,16,318,845,6,0,0,0,0,0,0,0,0,0,7,11,0,0,7,0,0
ASV_26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,428,0,0,0,0,0,0,0,0,0,138,0,9,63,757,382,111,773,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,0,23,0,12,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1746,0,69,11,5,23,0,237,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ASV_27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,150,155,322,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
