ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,OTU
ASV_84,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA,ASV_84
ASV_85,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA,NA,ASV_85
ASV_86,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,ASV_86
ASV_87,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,ASV_87
ASV_88,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA,NA,ASV_88
ASV_89,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,NA,ASV_89
ASV_91,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Gordonia,NA,ASV_91
ASV_92,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,NA,ASV_92
ASV_93,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,NA,ASV_93
ASV_94,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA,NA,ASV_94
ASV_95,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA,ASV_95
ASV_96,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,NA,ASV_96
ASV_97,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA,NA,ASV_97
ASV_98,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,ASV_98
ASV_102,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,NA,ASV_102
ASV_103,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,NA,ASV_103
ASV_105,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Glutamicibacter,NA,ASV_105
ASV_107,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA,ASV_107
ASV_108,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,NA,ASV_108
ASV_109,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA,ASV_109
ASV_110,Bacteria,Firmicutes,Bacilli,Lactobacillales,NA,NA,NA,ASV_110
ASV_111,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA,NA,ASV_111
ASV_112,Bacteria,Actinobacteria,Actinobacteria,Kineosporiales,Kineosporiaceae,Quadrisphaera,NA,ASV_112
ASV_113,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA,ASV_113
ASV_114,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Gordonia,NA,ASV_114
ASV_115,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Comamonas,NA,ASV_115
ASV_116,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,NA,NA,ASV_116
ASV_117,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,NA,ASV_117
ASV_118,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,NA,ASV_118
ASV_119,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,NA,ASV_119
ASV_121,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Curtobacterium,NA,ASV_121
ASV_123,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA,ASV_123
ASV_124,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Duganella,uncultured bacterium,ASV_124
ASV_125,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Curtobacterium,NA,ASV_125
ASV_127,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,NA,ASV_127
ASV_128,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,NA,ASV_128
ASV_129,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Massilia,NA,ASV_129
ASV_131,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Tsukamurellaceae,Tsukamurella,uous_taxa,ASV_131
ASV_132,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,NA,ASV_132
ASV_133,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA,ASV_133
ASV_134,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,NA,NA,ASV_134
ASV_135,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Lampropedia,uous_taxa,ASV_135
ASV_137,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,NA,ASV_137
ASV_138,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,NA,NA,ASV_138
ASV_139,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Gemmobacter,NA,ASV_139
ASV_140,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Gluconobacter,NA,ASV_140
ASV_141,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Chishuiella,uous_taxa,ASV_141
ASV_142,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,uncultured bacterium,ASV_142
ASV_143,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,NA,NA,NA,ASV_143
ASV_144,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA,NA,ASV_144
ASV_146,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aureimonas,NA,ASV_146
ASV_147,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,NA,ASV_147
ASV_148,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA,NA,ASV_148
ASV_149,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Hafnia-Obesumbacterium,NA,ASV_149
ASV_150,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,ASV_150
ASV_152,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,NA,ASV_152
ASV_153,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA,NA,ASV_153
ASV_154,Bacteria,Firmicutes,Bacilli,Lactobacillales,NA,NA,NA,ASV_154
ASV_155,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,NA,NA,ASV_155
ASV_156,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aureimonas,uous_taxa,ASV_156
ASV_157,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,NA,NA,ASV_157
ASV_158,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,NA,ASV_158
ASV_159,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,Methylobacterium aquaticum,ASV_159
ASV_160,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,ASV_160
ASV_162,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,NA,ASV_162
ASV_165,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Achromobacter,NA,ASV_165
ASV_166,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,NA,ASV_166
ASV_167,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Massilia,NA,ASV_167
ASV_169,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,ASV_169
ASV_170,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,NA,ASV_170
ASV_171,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA,NA,ASV_171
ASV_172,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,Siphonobacter,uous_taxa,ASV_172
ASV_173,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,NA,ASV_173
ASV_174,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,NA,ASV_174
ASV_175,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA,ASV_175
ASV_177,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,NA,ASV_177
ASV_178,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,NA,ASV_178
ASV_180,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,NA,NA,ASV_180
ASV_182,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA,ASV_182
ASV_183,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia,NA,ASV_183
ASV_184,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA,NA,ASV_184
ASV_186,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,ASV_186
ASV_187,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA,ASV_187
ASV_188,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA,NA,ASV_188
ASV_191,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,NA,ASV_191
ASV_192,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Leucobacter,NA,ASV_192
ASV_193,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,ASV_193
ASV_194,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,NA,ASV_194
ASV_195,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA,NA,ASV_195
ASV_197,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ketogulonicigenium,uous_taxa,ASV_197
ASV_198,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA,NA,ASV_198
ASV_200,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium multivorum,ASV_200
ASV_201,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA,ASV_201
ASV_204,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,NA,ASV_204
ASV_205,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aureimonas,uous_taxa,ASV_205
ASV_207,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,NA,ASV_207
ASV_208,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia,NA,ASV_208
ASV_209,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Massilia,NA,ASV_209
ASV_210,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baylyi,ASV_210
ASV_211,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,NA,ASV_211
ASV_212,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,NA,NA,ASV_212
ASV_214,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA,ASV_214
ASV_215,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter pulmonis,ASV_215
ASV_217,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Sanguibacteraceae,Sanguibacter,uous_taxa,ASV_217
ASV_218,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,NA,ASV_218
ASV_219,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,ASV_219
ASV_220,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA,ASV_220
ASV_221,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter lwoffii,ASV_221
ASV_222,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,NA,ASV_222
ASV_223,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,NA,NA,ASV_223
ASV_226,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma sp.,ASV_226
ASV_227,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA,ASV_227
ASV_228,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,NA,ASV_228
ASV_229,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,uncultured bacterium,uncultured bacterium,ASV_229
ASV_230,Bacteria,Firmicutes,Bacilli,Bacillales,NA,NA,NA,ASV_230
ASV_236,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,NA,NA,ASV_236
ASV_237,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ochrobactrum,NA,ASV_237
ASV_239,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Delftia,NA,ASV_239
ASV_240,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,NA,ASV_240
ASV_241,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Ammoniphilus,uous_taxa,ASV_241
ASV_242,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,NA,NA,ASV_242
ASV_243,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,NA,NA,ASV_243
ASV_245,Bacteria,Firmicutes,Bacilli,Bacillales,Family XII,Exiguobacterium,NA,ASV_245
ASV_246,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium,NA,ASV_246
ASV_247,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus hunanensis,ASV_247
ASV_249,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Leucobacter,NA,ASV_249
ASV_251,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA,ASV_251
ASV_252,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,NA,ASV_252
ASV_253,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium sp. 23D10-4-9,ASV_253
ASV_254,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,NA,NA,ASV_254
ASV_255,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,ASV_255
ASV_256,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Rummeliibacillus,NA,ASV_256
ASV_257,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,NA,NA,ASV_257
ASV_258,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,NA,ASV_258
ASV_260,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,NA,ASV_260
ASV_261,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,uous_taxa,ASV_261
ASV_262,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,NA,ASV_262
ASV_263,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,NA,ASV_263
ASV_264,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium 1,uncultured organism,ASV_264
ASV_265,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,NA,ASV_265
ASV_266,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,NA,NA,NA,ASV_266
ASV_267,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Tsukamurellaceae,Tsukamurella,uous_taxa,ASV_267
ASV_269,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Shinella,uous_taxa,ASV_269
ASV_270,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Kosakonia,uous_taxa,ASV_270
ASV_271,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,NA,ASV_271
ASV_272,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Geodermatophilaceae,Geodermatophilus,uous_taxa,ASV_272
